Intensity
19
63
163
427
770
1543
3132
6106
11077
22952
55174
115478
199829
161391
83877
42057
20335
11607
6657
4193
2916
2325
1759
1457
1406
1150
1082
967
918
794
733
769
647
638
568
574
564
532
533
480
479
473
455
431
385
371
371
369
337
342
320
334
321
276
278
272
271
228
249
233
232
244
250
217
183
185
170
200
187
217
184
159
154
168
167
138
159
170
159
151
148
143
136
156
159
114
136
139
126
133
106
114
105
97
113
131
94
122
111
116
93
112
105
115
104
101
100
87
108
107
91
81
98
67
72
83
72
71
92
66
65
73
77
66
66
68
100
69
81
69
62
55
54
70
53
46
61
51
56
66
46
59
59
48
43
50
46
54
48
45
43
55
57
43
37
39
46
42
24
55
39
38
45
46
42
39
35
29
26
29
32
29
17
25
28
41
25
26
23
35
22
32
29
27
25
25
37
21
31
31
31
19
23
22
31
17
15
16
18
15
22
25
15
13
14
19
11
15
14
12
14
12
11
20
3
18
9
10
9
16
13
7
11
19
11
6
14
9
16
5
9
5
4
4
4
10
6
7
2
6
4
7
10
9
8
5
6
14
3
12
12
14
12
6
2
0
